Magnitude,Time
0.052897,1
0.40447,2
0.2674,3
0.34113,4
0.57866,5
0.50361,6
0.49639,7
0.6723,8
1.1412,9
2.6073,10
2.3804,11
4.4649,12
4.6182,13
4.6783,14
4.8366,15
4.556,16
4.7422,17
6.5945,18
7.8567,19
10.331,20
11.514,21
10.319,22
11.266,23
13.682,24
14.037,25
15.193,26
16.941,27
16.553,28
17.818,29
16.124,30
17.63,31
16.407,32
14.21,33
13.708,34
10.585,35
12.413,36
13.908,37
13.796,38
15.684,39
13.674,40
13.736,41
10.437,42
13.073,43
12.762,44
12.227,45
15.619,46
15.85,47
14.931,48
11.892,49
10.977,50
13.264,51
12.046,52
11.453,53
10.682,54
11.732,55
14.013,56
11.228,57
9.2406,58
8.9985,59
9.6501,60
10.37,61
12.935,62
15.469,63
16.333,64
13.314,65
15.287,66
15.75,67
16.726,68
16.998,69
14.74,70
14.111,71
13.266,72
11.648,73
10.52,74
8.9598,75
7.5784,76
6.9699,77
6.8536,78
4.9335,79
4.1282,80
4.4233,81
5.2,82
5.7878,83
6.0273,84
5.8389,85
6.6843,86
6.6362,87
5.37,88
5.7507,89
5.0269,90
4.8508,91
3.8055,92
4.7852,93
6.0268,94
6.1163,95
5.2794,96
5.1427,97
4.1225,98
4.2481,99
5.2699,100
5.6455,101
5.5858,102
4.7061,103
4.3473,104
4.5275,105
4.6443,106
4.1516,107
4.0018,108
3.5648,109
2.8898,110
3.267,111
2.7904,112
3.0622,113
3.0179,114
4.4594,115
3.9532,116
4.1822,117
3.8582,118
3.3195,119
3.6546,120
3.4879,121
3.5977,122
4.3003,123
4.065,124
4.2541,125
3.7993,126
4.1518,127
4.2913,128
6.4065,129
4.1804,130
4.8434,131
5.3255,132
6.9616,133
10.988,134
10.459,135
10.887,136
8.3251,137
6.5745,138
6.8388,139
4.068,140
5.9157,141
5.6997,142
7.4911,143
7.7291,144
9.5626,145
9.0521,146
9.8199,147
10.099,148
12.665,149
12.369,150
8.8245,151
6.7508,152
7.7557,153
9.3278,154
6.0069,155
6.9566,156
8.574,157
5.6903,158
7.1485,159
7.7858,160
8.9238,161
10.2,162
12.664,163
8.7349,164
6.795,165
5.3862,166
6.5633,167
6.6901,168
7.4828,169
5.0263,170
6.4507,171
6.9743,172
6.9782,173
7.2422,174
7.3777,175
7.1208,176
6.0986,177
6.7074,178
7.9533,179
6.9389,180
6.8669,181
6.5568,182
5.659,183
5.7859,184
5.3847,185
4.6885,186
4.8049,187
3.7198,188
2.3459,189
2.1311,190
2.2231,191
2.1161,192
2.6713,193
2.3648,194
3.0806,195
3.0774,196
3.5307,197
2.781,198
2.8554,199
3.1657,200
